WordChunk,VisualStrength,AuditoryStrength,GustatoryStrength,OlfactoryStrength,TactileStrength,Word,POS,Freq,LogFreq,Modality,AnyPositive,AllEqual
fizzle__n,0,0.078483898,0,0,0,fizzle,n,10,1,Auditory,yes,no
index__v,0.057048883,0.009807334,0,0,0.039124571,index,v,106,2.025305865,Visual,yes,no
multiple__n,0.025955471,-0.00369567,0.053211826,0,-0.078197575,multiple,n,540,2.73239376,Gustatory,yes,no
walk-on__a,0,0.015337058,0,0,0.023954859,walk-on,a,NA,NA,Haptic,yes,no
fizzle__v,0.042909568,-0.060117883,-0.042702543,0,-0.051260925,fizzle,v,10,1,Visual,yes,no
index__n,0.023954069,-0.07734849,0.034965747,0,-0.017075952,index,n,106,2.025305865,Gustatory,yes,no
preserve__n,-0.069368295,0,0.17212091,0.112087662,-0.070847414,preserve,n,287,2.457881897,Gustatory,yes,no
considerable__a,0.001327214,-0.025346498,-0.08403577,-0.022856862,-0.034925851,considerable,a,231,2.36361198,Visual,no,no
appear__v,0.173967542,-0.071502253,-0.073815571,-0.128257029,-0.075621622,appear,v,1192,3.076276255,Visual,yes,no
posh__a,-0.017115156,0.021039946,0.037000608,0,-0.045043914,posh,a,65,1.812913357,Gustatory,yes,no
jealous__a,0.055438882,-0.034336848,-0.062192942,0,-0.037645796,jealous,a,1952,3.290479813,Visual,yes,no
confines__n,-0.015409674,0.016300481,-0.016136215,0,-0.016888793,confines,n,39,1.591064607,Auditory,yes,no
wicker__n,0.085805679,0,0,0,0,wicker,n,48,1.681241237,Visual,yes,no
restraining__n,0.014906821,0.004415892,0,0,0.013450746,restraining,n,171,2.23299611,Visual,yes,no
postcard__n,0.021896014,-0.053969309,0.050364845,0,-0.08902056,postcard,n,211,2.324282455,Gustatory,yes,no
foolishly__r,-0.000586375,0.072498395,0,0,0.07949111,foolishly,r,33,1.51851394,Haptic,yes,no
fatuous__a,0.055443772,0,0,0,0.05405491,fatuous,a,7,0.84509804,Visual,yes,no
speck__n,0.04236469,0.032080327,0.047006127,0,0,speck,n,95,1.977723605,Gustatory,yes,no
attendance__n,-0.051897388,-0.026414756,-0.014228535,0,-0.030849048,attendance,n,135,2.130333768,Olfactory,no,no
booster__n,-0.075489952,0.031621377,0.044432393,0,-0.051260925,booster,n,135,2.130333768,Gustatory,yes,no
snore__v,0.032570392,-0.005317779,0.037476294,0,0.031142986,snore,v,82,1.913813852,Gustatory,yes,no
calendar__n,0.014080482,-0.061867615,-0.039840905,0,-0.012498383,calendar,n,363,2.559906625,Visual,yes,no
bid__n,0.010215698,-0.010120069,-0.026371329,-0.076320961,-0.025199904,bid,n,642,2.807535028,Visual,yes,no
directive__n,0.005761074,-0.061673595,-0.062192942,0,-0.071292209,directive,n,90,1.954242509,Visual,no,no
prosecution__n,-0.002559614,-0.008727707,-0.098536548,0,-0.0416053,prosecution,n,401,2.603144373,Olfactory,no,no
shone__n,0.046551219,0.036544555,0.079338628,0,0.045162357,shone,n,30,1.477121255,Gustatory,yes,no
lance__n,0.053798429,0,0.10933852,0,0,lance,n,554,2.743509765,Gustatory,yes,no
assorted__a,0.032824933,-0.106869443,0.060810099,0,-0.00611664,assorted,a,49,1.69019608,Gustatory,yes,no
clicker__n,0,0.050037412,0,0,0.030302062,clicker,n,21,1.322219295,Auditory,yes,no
broader__a,-0.017450072,0.015209448,-0.050754351,-0.014899334,-0.00249024,broader,a,34,1.531478917,Auditory,yes,no
tolerant__a,0.017632463,-0.026703883,0,0,-0.074290206,tolerant,a,65,1.812913357,Visual,yes,no
unmarked__a,0.067533,0,0,0,0.066105594,unmarked,a,70,1.84509804,Visual,yes,no
mayhem__n,0.020024728,-0.058735142,0.034315816,0,-0.049878184,mayhem,n,109,2.037426498,Gustatory,yes,no
embed__v,-0.024574429,-0.073176483,-0.012933475,0,-0.026089708,embed,v,4,0.602059991,Olfactory,no,no
aquatic__a,0,0,0.076061995,0,0,aquatic,a,28,1.447158031,Gustatory,yes,no
misdemeanor__n,-0.002898396,-0.001657637,0,0,0.024369261,misdemeanor,n,73,1.86332286,Haptic,yes,no
unto__v,0.002626479,0.021039946,0.053412186,0,0.001170403,unto,v,389,2.589949601,Gustatory,yes,no
papa__n,0,0.009542516,0,0,0.018160317,papa,n,2172,3.336859821,Haptic,yes,no
larger-than-life__a,-0.029224884,0.019620471,-0.022650382,0,-0.011182553,larger-than-life,a,NA,NA,Auditory,yes,no
pay__v,-0.024461697,-0.001014987,-0.074050881,-0.110842131,-0.024941867,pay,v,12985,4.113441954,Auditory,no,no
pileated__a,0,0,0.088231181,0,0,pileated,a,NA,NA,Gustatory,yes,no
regular-season__a,-0.037423508,-0.042061069,0.116165481,0,0.009798576,regular-season,a,NA,NA,Gustatory,yes,no
pay__n,-0.001451682,-0.014272307,-0.014660609,0,-0.011426617,pay,n,12985,4.113441954,Olfactory,no,no
commando__n,-0.04983352,-0.041239975,0,0,0.071503994,commando,n,54,1.73239376,Haptic,yes,no
made-up__a,0,0.009807334,0,0,0,made-up,a,NA,NA,Auditory,no,no
earthworm__n,0,0.088994122,0,0,0.070175186,earthworm,n,7,0.84509804,Auditory,yes,no
turmeric__n,0,0,0.158951054,0,0,turmeric,n,2,0.301029996,Gustatory,yes,no
blanch__v,0.03053796,0,0.10251616,0,-0.011182553,blanch,v,13,1.113943352,Gustatory,yes,no
bury__v,0.128937993,-0.055257878,-0.036315643,-0.005899568,-0.041138518,bury,v,1054,3.022840611,Visual,yes,no
telephone__v,0.017089591,-0.00369567,0,0,0.00570654,telephone,v,1651,3.217747073,Visual,yes,no
orangutan__n,0.020495246,0.025988653,0,0,-0.001025629,orangutan,n,29,1.462397998,Auditory,yes,no
ever-increasing__a,0,0.02168426,0,0,0,ever-increasing,a,NA,NA,Auditory,yes,no
languish__v,-0.015018166,-0.058508568,0.011197349,0,-0.06414163,languish,v,8,0.903089987,Gustatory,yes,no
telephone__n,-0.020911335,0.036885242,-0.064692043,-0.095196393,-0.035068874,telephone,n,1651,3.217747073,Auditory,yes,no
slant__n,-0.023776844,-0.033783509,0,0,0.0220106,slant,n,58,1.763427994,Haptic,yes,no
advisory__a,0.020962083,0.052159314,0,0,-0.022523811,advisory,a,51,1.707570176,Auditory,yes,no
old-school__a,0,0,0.08768411,0,0,old-school,a,NA,NA,Gustatory,yes,no
crumple__v,0,0.012975747,0.009010565,0,0.0220106,crumple,v,8,0.903089987,Haptic,yes,no
advisory__n,-0.093039864,-0.03879753,-0.084742228,0,-0.1189185,advisory,n,51,1.707570176,Olfactory,no,no
rights__n,-0.042606187,-0.003327983,-0.091573274,-0.081019431,-0.043559614,rights,n,1510,3.178976947,Auditory,no,no
braised__a,-0.079370383,0,0.17794356,0,-0.080759246,braised,a,11,1.041392685,Gustatory,yes,no
array__n,0.005891311,-0.072588914,-0.030376465,-0.002859964,-0.090683617,array,n,108,2.033423755,Visual,no,no
source__n,-0.0314299,0.035789968,-0.088835564,-0.048942722,-0.042933137,source,n,1437,3.157456768,Auditory,yes,no
array__v,0.033750393,0,0.003457748,0,0,array,v,108,2.033423755,Visual,yes,no
state-run__a,0,-0.00412283,0,0,-0.007822469,state-run,a,NA,NA,Visual,no,no
dreams__n,0.000390928,0,0,0,-0.000997935,dreams,n,3285,3.516535374,Visual,no,no
intimidating__a,0.036881746,0.016896998,-0.034189451,0,0.016433305,intimidating,a,70,1.84509804,Visual,yes,no
effusive__a,0,0.060772976,0.015068851,0,0,effusive,a,7,0.84509804,Auditory,yes,no
waxy__a,0.075594463,0,0.079338628,0,0,waxy,a,20,1.301029996,Gustatory,yes,no
people__n,0.000836608,0.027795079,-0.07170107,-0.101803072,0.016018917,people,n,56252,4.750137968,Auditory,yes,no
hourly__a,0.009886778,0,0.02852743,0,-0.053125967,hourly,a,37,1.568201724,Gustatory,yes,no
quit__v,-0.005878892,0.02426318,-0.004019798,0.02467879,-0.014158851,quit,v,4595,3.662285516,Olfactory,yes,no
people__v,0.009283481,0,0,0,0.073393733,people,v,56252,4.750137968,Haptic,yes,no
majesty__n,0.072392818,0,0.006176298,0,0,majesty,n,1863,3.270212855,Visual,yes,no
hardiness__n,0.038707432,0,0,0,0.066105594,hardiness,n,NA,NA,Haptic,yes,no
promising__a,0.011229927,-0.036772442,0.017651735,0,-0.04118024,promising,a,336,2.526339277,Gustatory,yes,no
actually__r,0.002960447,0.012535198,-0.031872341,-0.030836404,0.006774892,actually,r,16439,4.215875395,Auditory,yes,no
fertile-shaped__a,0.070896418,0.060099852,0,0,0,fertile-shaped,a,NA,NA,Visual,yes,no
ginger__n,-0.04128723,-0.171710387,0.197155748,0.126435347,-0.093114749,ginger,n,327,2.514547753,Gustatory,yes,no
crackly__a,0.065709471,0.055702807,0,0,0,crackly,a,2,0.301029996,Visual,yes,no
jackets__a,0.084733797,0,0,0,0,jackets,a,175,2.243038049,Visual,yes,no
book__v,-0.014694146,-0.012349476,-0.054078305,0,0.010406597,book,v,9026,3.955495329,Haptic,yes,no
dive__n,-0.00230809,-0.021208182,-0.016436557,0.061141824,0.009869875,dive,n,654,2.815577748,Olfactory,yes,no
dive__v,0.005538105,0.004764665,0.044263749,0.021731125,0.036969208,dive,v,654,2.815577748,Gustatory,yes,no
expectancy__n,-0.039213725,-0.003208189,0,0,0,expectancy,n,32,1.505149978,Gustatory,no,no
book__n,-0.020227995,0.024379268,-0.057261083,-0.057686862,-0.048991866,book,n,9026,3.955495329,Auditory,yes,no
nugget__n,0,-0.011991899,0.115004962,0,-0.00281406,nugget,n,60,1.77815125,Gustatory,yes,no
heyday__n,-0.045598561,-0.021678244,-0.038581937,0.099014062,0.000436022,heyday,n,8,0.903089987,Olfactory,yes,no
headphone__n,-0.00173857,-0.057825273,0,0,0.04749817,headphone,n,8,0.903089987,Haptic,yes,no
recreational__a,-0.072771403,-0.010374779,-0.013342221,0,-0.048466932,recreational,a,53,1.72427587,Olfactory,no,no
vikings__n,0.003778011,-0.038360823,0.027570326,0.027283942,-0.017118346,vikings,n,59,1.770852012,Gustatory,yes,no
anterior__a,0,0.009807334,0,0,0.055569763,anterior,a,48,1.681241237,Haptic,yes,no
invoke__v,-0.041566766,-0.020663752,-0.046603399,0,-0.083000653,invoke,v,51,1.707570176,Olfactory,no,no
curriculum__n,-0.031038632,-0.012377336,-0.043754704,0,-0.068101778,curriculum,n,70,1.84509804,Olfactory,no,no
smooth__v,-0.01022112,-0.030741413,0.042976458,0,-0.032178898,smooth,v,932,2.969415912,Gustatory,yes,no
gratify__v,0,0.051679054,0.016582149,0,0.001170403,gratify,v,8,0.903089987,Auditory,yes,no
facemask__n,0,0.036544555,0,0,0.045162357,facemask,n,NA,NA,Haptic,yes,no
city-based__a,0,0.058398498,0,0,0.018160317,city-based,a,NA,NA,Auditory,yes,no
wither__v,0.017948584,-0.017000308,-0.007386873,0,-0.007822469,wither,v,47,1.672097858,Visual,yes,no
licensed__a,-0.062274068,-0.027384518,-0.029486659,0,-0.06366293,licensed,a,140,2.146128036,Olfactory,no,no
cheaper__a,-0.034955651,0.018169201,-0.041311168,0,0.01681642,cheaper,a,251,2.399673721,Auditory,yes,no
tell__v,-0.023255214,0.025710738,-0.041755007,-0.086987754,-0.003880846,tell,v,87949,4.944230906,Auditory,yes,no
consortium__n,-0.019131847,-0.065930088,-0.019757954,0,-0.046066201,consortium,n,35,1.544068044,Olfactory,no,no
brave__a,0.008951539,-0.014998746,0.017930382,0,0.001267635,brave,a,1617,3.20871002,Gustatory,yes,no
roughhouse__v,0,0.02168426,0,0,0.080162686,roughhouse,v,14,1.146128036,Haptic,yes,no
brave__n,0,0,0,0,0.074167058,brave,n,1617,3.20871002,Haptic,yes,no
contra-contrariwise__a,0.097198208,0,0.131572337,0,0,contra-contrariwise,a,NA,NA,Gustatory,yes,no
brave__v,-0.051737105,0.012319915,0.008275807,0,-0.026848903,brave,v,1617,3.20871002,Auditory,yes,no
paprika__n,0,0,0.172848468,0,-0.013044478,paprika,n,41,1.612783857,Gustatory,yes,no
smooth__a,0.008484694,-0.065877808,0.089544061,-0.028727123,-0.012219664,smooth,a,932,2.969415912,Gustatory,yes,no
deride__v,-0.068473445,-0.052906658,0,0,0.033675108,deride,v,5,0.698970004,Haptic,yes,no
re-entry__a,0.031690925,0.050037412,0,0,0,re-entry,a,NA,NA,Auditory,yes,no
shallot__n,-0.021761555,0,0.176831821,0.067009347,-0.034095067,shallot,n,2,0.301029996,Gustatory,yes,no
caper__n,-0.003646382,0,0.133815538,0,0,caper,n,90,1.954242509,Gustatory,yes,no
bacon__v,0.065709471,0,0.09849688,0,0.064320609,bacon,v,605,2.781755375,Gustatory,yes,no
meadowlands__n,-0.023776844,0,0.057840804,0,0.0220106,meadowlands,n,3,0.477121255,Gustatory,yes,no
rapper__n,0.036681632,-0.059813338,0.010259811,0,0.0237008,rapper,n,90,1.954242509,Visual,yes,no
bacon__n,0.000934911,-0.125438498,0.173635329,0.080515233,-0.004546745,bacon,n,605,2.781755375,Gustatory,yes,no
monoxide__n,-0.043655051,0,0,0,0.017014933,monoxide,n,58,1.763427994,Haptic,yes,no
boxing__n,-0.01639202,-0.017937203,-0.025743812,0,0.017179029,boxing,n,370,2.568201724,Haptic,yes,no
dazzle__v,0.005810962,-0.028848282,0,0,0.031014289,dazzle,v,51,1.707570176,Haptic,yes,no
sediment__n,-0.007452859,0,0,0,0.055569763,sediment,n,21,1.322219295,Haptic,yes,no
liberty__n,-0.006144034,0.012965658,-0.039165496,0,-0.040752409,liberty,n,849,2.92890769,Auditory,yes,no
strategy__n,-0.011953582,-0.007905493,-0.039179531,-0.017539353,-0.011591382,strategy,n,482,2.683047038,Auditory,no,no
pick__n,0.004487511,-0.003290244,0.025201795,0,0.006674456,pick,n,10118,4.005094675,Gustatory,yes,no
baste__v,0,0,0.129654266,0,0.012829855,baste,v,18,1.255272505,Gustatory,yes,no
farce__n,-0.031644874,-0.054823428,0.138013427,0,-0.03314337,farce,n,89,1.949390007,Gustatory,yes,no
life-changing__a,0.097198208,0,0,0,0,life-changing,a,NA,NA,Visual,yes,no
armpit__n,0.064261845,-0.059813338,0.092400326,0,0,armpit,n,64,1.806179974,Gustatory,yes,no
bolster__v,-0.001480504,-0.025753468,-0.016382225,0,-0.101134195,bolster,v,16,1.204119983,Olfactory,no,no
treat__v,-0.026396377,-0.009779673,-0.009757474,-0.035609781,-0.024139238,treat,v,2646,3.42258984,Gustatory,no,no
unseasoned__a,-0.007452859,0,0.171346503,0,0,unseasoned,a,1,0,Gustatory,yes,no
treat__n,-0.018642046,-0.029666494,0.055062637,0.130101265,-0.02967843,treat,n,2646,3.42258984,Olfactory,yes,no
spindle__n,0,0,0,0,0.064320609,spindle,n,21,1.322219295,Haptic,yes,no
caste__n,0.039664066,0,0,0,0.0220106,caste,n,44,1.643452676,Visual,yes,no
well-being__n,-0.038252797,-0.0161128,0.021030824,0,-0.073305393,well-being,n,NA,NA,Gustatory,yes,no
peso__n,0.044474624,-0.015360976,0,0,-0.006504018,peso,n,13,1.113943352,Visual,yes,no
motorcycle-theme__a,0.053798429,0,0,0,0.052371023,motorcycle-theme,a,NA,NA,Visual,yes,no
loner__n,0.000421787,-0.038389863,0.035797355,0,0.044409545,loner,n,158,2.198657087,Haptic,yes,no
roving__a,0,0,0,0,0.047347952,roving,a,38,1.579783597,Haptic,yes,no
swift__a,0.016817768,-0.12962847,-0.086834397,0,-0.031608171,swift,a,197,2.294466226,Visual,yes,no
silently__r,0.008546032,-0.073176483,-0.047443896,0,0.036145163,silently,r,77,1.886490725,Haptic,yes,no
jest__n,0,0.015337058,0,0,0.023954859,jest,n,68,1.832508913,Haptic,yes,no
prerogative__n,0.02815316,-0.009615736,0,0,0,prerogative,n,67,1.826074803,Visual,yes,no
once__r,0.00765211,-0.011742906,-0.012618638,-0.024777937,-0.006742303,once,r,17589,4.245241149,Visual,no,no
bush-tv__a,0,0,0.131572337,0,0.095742133,bush-tv,a,NA,NA,Gustatory,yes,no
tepid__a,-0.022095326,-0.053105728,-0.006933593,0,0.102399771,tepid,a,12,1.079181246,Haptic,yes,no
protracted__a,0.006673736,0.007031095,-0.007386873,0,0.026391322,protracted,a,12,1.079181246,Haptic,yes,no
alarming__a,0.032295292,-0.019048721,0,0,-0.020615715,alarming,a,58,1.763427994,Visual,yes,no
analytical__a,0.020091697,0.030089717,0,0,0,analytical,a,30,1.477121255,Auditory,yes,no
ways__n,-0.062312215,0,0,0,0.067126341,ways,n,2633,3.420450859,Haptic,yes,no
flash__n,0.136080869,-0.069466354,-0.042699933,0.038292193,-0.059210871,flash,n,783,2.893761762,Visual,yes,no
flash__a,0.037292494,-0.000723183,0,0,0.035865088,flash,a,783,2.893761762,Visual,yes,no
review__n,-0.021510727,-0.015108418,-0.075235562,0,-0.070351133,review,n,755,2.877946952,Olfactory,no,no
exterior__n,0.040662171,-0.021896968,0.019984126,0,0.014611621,exterior,n,121,2.08278537,Visual,yes,no
flash__v,0.136173953,-0.048345461,-0.010232769,0,-0.054532817,flash,v,783,2.893761762,Visual,yes,no
imaginary__a,-0.076666187,-0.030741413,0.004695166,0,0.011891109,imaginary,a,222,2.346352974,Haptic,yes,no
hard__r,-0.040404424,0.013791302,-0.0630654,0,0.111632021,hard,r,15700,4.195899652,Haptic,yes,no
reel__v,0.016793917,-0.007709704,-0.015439877,0,-0.062279107,reel,v,166,2.220108088,Visual,yes,no
hard__a,0.003809334,0.016151704,-0.023498764,-0.106081272,0.012207002,hard,a,15700,4.195899652,Auditory,yes,no
retreat__n,0.006822819,-0.005041717,-0.012172278,0,-0.057855479,retreat,n,484,2.684845362,Visual,no,no
retreat__v,-0.037477828,-0.029697231,-0.000754366,0,-0.039033421,retreat,v,484,2.684845362,Olfactory,no,no
flesh-eating__a,0.025343722,0.043514065,0,0,0,flesh-eating,a,NA,NA,Auditory,yes,no
crossfire__n,0.056021075,0.044996627,0,0,0.044260312,crossfire,n,46,1.662757832,Visual,yes,no
koreans__n,-0.005076613,-0.041948238,0,0,0.029489624,koreans,n,97,1.986771734,Haptic,yes,no
storefront__n,0.017948584,0,0,0,-0.068365723,storefront,n,23,1.361727836,Visual,yes,no
mouthwash__n,0,-0.015360976,0.102642427,0,0.013450746,mouthwash,n,49,1.69019608,Gustatory,yes,no
storefront__a,0.053214274,0.006106793,0,0,-0.012442341,storefront,a,23,1.361727836,Visual,yes,no
apologize__v,0.026985491,0.016799178,-0.037980159,0,-0.032704313,apologize,v,2518,3.401055726,Visual,yes,no
ascribe__v,0.056172846,0.004415892,0,0,0,ascribe,v,5,0.698970004,Visual,yes,no
homeless__n,-0.053236286,-0.036450297,-0.018862157,0,0.023839132,homeless,n,543,2.73479983,Haptic,yes,no
midfielder__n,-0.039213725,-0.003208189,0.021146729,0,-0.013977982,midfielder,n,1,0,Gustatory,yes,no
homeless__a,-0.024444279,-0.004359271,-0.005741918,0,-0.010029773,homeless,a,543,2.73479983,Olfactory,no,no
jibe__v,0.079359376,-0.009615736,0,0,0,jibe,v,18,1.255272505,Visual,yes,no
big-screen__a,0.042909568,0,0.003625083,0,0.017012358,big-screen,a,NA,NA,Visual,yes,no
wildflower__n,0.068559737,0,-0.026156204,0,0.035241635,wildflower,n,3,0.477121255,Visual,yes,no
fin__n,-0.014469367,0.002596109,0.098701613,0,0,fin,n,174,2.240549248,Gustatory,yes,no
malice__n,0.033750393,0.007154206,0,0,0.016189059,malice,n,60,1.77815125,Visual,yes,no
dynamics__n,-0.004514026,-0.022799046,-0.025263219,0,0.000458876,dynamics,n,43,1.633468456,Haptic,no,no
hem__n,-0.001059752,-0.058735142,-0.014753474,0,0.062102693,hem,n,42,1.62324929,Haptic,yes,no
miss.-based__a,0.074964391,0.043514065,0.087495734,0,0,miss.-based,a,NA,NA,Gustatory,yes,no
domestic__a,-0.001592698,-0.057284221,-0.00838645,0,-0.017648421,domestic,a,351,2.545307116,Olfactory,no,no
persuade__v,-0.006656519,-0.018156043,-0.068799618,0,-0.024032243,persuade,v,326,2.5132176,Olfactory,no,no
cash__v,-0.031647532,-0.018215222,0.030950103,0,-0.003051851,cash,v,3694,3.567496891,Gustatory,yes,no
underachiever__n,-0.007452859,-0.017459524,0.02533455,0,0.018664291,underachiever,n,16,1.204119983,Gustatory,yes,no
radio__v,0,0,0,0,0.05889437,radio,v,3936,3.59505509,Haptic,yes,no
cash__n,-0.000608521,0.000706361,-0.028381853,-0.112982434,-0.028501286,cash,n,3694,3.567496891,Auditory,no,no
newsman__n,0,0,0,0,0.061844926,newsman,n,20,1.301029996,Haptic,yes,no
radio__n,-0.052467852,-0.002006504,0.011071006,-0.070283609,-0.017664137,radio,n,3936,3.59505509,Gustatory,yes,no
aol.com__n,0,0.042557316,0,0,0.01496375,aol.com,n,NA,NA,Auditory,yes,no
lopsided__a,-0.04785161,-0.035491918,0.030004943,0,0.019777255,lopsided,a,22,1.342422681,Gustatory,yes,no
bias__v,0.008660615,0.031621377,0,0,0.025877565,bias,v,82,1.913813852,Auditory,yes,no
prevalence__n,0.029818147,0,0,0,0,prevalence,n,1,0,Visual,yes,no
large-capitalization__a,0.068889427,0,0.103263556,0,0,large-capitalization,a,NA,NA,Gustatory,yes,no
e-consumers__n,0,0.052529479,0,0,0.061827549,e-consumers,n,NA,NA,Haptic,yes,no
well-equipped__a,0,0.022286029,0.037476294,0,0,well-equipped,a,NA,NA,Gustatory,yes,no
compliant__a,0.004054207,0.03661106,0,0,0,compliant,a,8,0.903089987,Auditory,yes,no
near-money__a,0.031690925,0.02168426,0.064478334,0,0,near-money,a,NA,NA,Gustatory,yes,no
cling__v,-0.095608092,-0.097772195,-0.082272019,0,0.128791022,cling,v,128,2.10720997,Haptic,yes,no
bias__n,-0.000281433,0.029491763,0,0,-0.069509205,bias,n,82,1.913813852,Auditory,yes,no
candied__a,0,0,0.15607606,0,0,candied,a,14,1.146128036,Gustatory,yes,no
brushy__a,0.060321775,0,0,0,0.05889437,brushy,a,NA,NA,Visual,yes,no
million__n,0.003637036,-0.029797463,-0.053575168,0,-0.014460276,million,n,6145,3.788521887,Visual,no,no
derailment__n,-0.007452859,0.060099852,0,0,0,derailment,n,11,1.041392685,Auditory,yes,no
london-based__a,0.038850654,0.003402964,0,0,0,london-based,a,NA,NA,Visual,yes,no
folly__n,0.071690465,0,0,0,0,folly,n,74,1.86923172,Visual,yes,no
promoter__n,-0.044943036,0.025272681,-0.008219574,0,-0.027466434,promoter,n,51,1.707570176,Auditory,yes,no
curative__n,0,0,0.164539017,0,0,curative,n,11,1.041392685,Gustatory,yes,no
generator__n,-0.011539873,-0.040736029,-0.063621865,0,0.032675988,generator,n,290,2.462397998,Haptic,yes,no
seafood__n,-0.093596551,0.001032709,0.136234191,0.063668221,0,seafood,n,103,2.012837225,Gustatory,yes,no
splinter__v,0.024003809,0,0,0,0.022576404,splinter,v,75,1.875061263,Visual,yes,no
indicator__n,-0.076491665,-0.018088372,0.021045263,0,0,indicator,n,44,1.643452676,Gustatory,yes,no
splinter__n,0,0,0.033178337,0,0.026725755,splinter,n,75,1.875061263,Gustatory,yes,no
sledgehammer__n,-0.026611111,0,0.006176298,0,0.070862694,sledgehammer,n,45,1.653212514,Haptic,yes,no
neo-nazi__a,0.009283481,0.078157319,0,0,0,neo-nazi,a,NA,NA,Auditory,yes,no
gubernatorial__a,-0.083037101,-0.034104241,0,0,0.008697584,gubernatorial,a,2,0.301029996,Haptic,no,no
grandma__n,0,0,0,0,0.066105594,grandma,n,2325,3.366422957,Haptic,yes,no
price-to-earnings__a,0.042816718,-0.003927238,0.040054431,0,0,price-to-earnings,a,NA,NA,Visual,yes,no
camel__n,0.065080743,-0.033783509,0,0,0,camel,n,256,2.408239965,Visual,yes,no
tar__n,-0.031941573,0.020311785,0.000845836,0,0.042976128,tar,n,160,2.204119983,Haptic,yes,no
ours__a,0.009732747,0.039870906,0,0,0,ours,a,1801,3.255513713,Auditory,yes,no
enlisted__a,-0.058943613,-0.008445011,0,0,0.085295662,enlisted,a,174,2.240549248,Haptic,yes,no
cape__n,0.060449937,-0.055776028,0.014409162,0,-0.001046229,cape,n,420,2.62324929,Visual,yes,no
tar__v,0,0.059322713,0,0,0,tar,v,160,2.204119983,Auditory,yes,no
voyage__n,-0.015018166,-0.035491918,0,0,0.025559395,voyage,n,306,2.485721426,Haptic,yes,no
solid__a,-0.002063521,-0.020154507,0.001067092,0,0.003224693,solid,a,998,2.999130541,Haptic,no,no
puncher__n,0,0,0,0,0.074167058,puncher,n,16,1.204119983,Haptic,yes,no
beau__n,0.063301002,0,0.047006127,0,0,beau,n,298,2.474216264,Visual,yes,no
tractor__n,-0.044632424,-0.040169729,-0.055945061,0,0.070351401,tractor,n,190,2.278753601,Haptic,yes,no
heinous__a,0.000401777,0.010004318,0.034099082,0,-0.001025629,heinous,a,82,1.913813852,Gustatory,yes,no
unread__a,0.038707432,0,0.141127084,0,0,unread,a,5,0.698970004,Gustatory,yes,no
snare__a,0,0.037558717,0,0,0.067433352,snare,a,39,1.591064607,Haptic,yes,no
fulfill__v,0.017120938,-0.0008158,0,0,-0.105633461,fulfill,v,199,2.298853076,Visual,yes,no
capital__n,-0.023595405,-0.024570665,-0.067904815,-0.060464932,-0.009258077,capital,n,648,2.811575006,Haptic,no,no
contraband__n,0,0.0653101,0,0,0,contraband,n,48,1.681241237,Auditory,yes,no
snare__v,-0.016814135,-0.042622556,0.002242502,0,0.039855187,snare,v,39,1.591064607,Haptic,yes,no
correlate__v,0.037292494,0.078157319,0,0,0,correlate,v,19,1.278753601,Auditory,yes,no
fog__v,0.098736468,0,0,0,0,fog,v,482,2.683047038,Visual,yes,no
excitement__n,0.018696757,-0.007470874,-4.68E-05,-0.025091811,0.009367543,excitement,n,628,2.797959644,Visual,yes,no
electrochemical__a,0.11193827,0,0,0,0,electrochemical,a,3,0.477121255,Visual,yes,no
already__r,-0.012799829,-0.005857138,-0.032556843,-0.051382731,-0.006865834,already,r,16246,4.210746449,Auditory,no,no
jokingly__r,-0.016817005,0.064250158,-0.020857094,0,-0.029205284,jokingly,r,8,0.903089987,Auditory,yes,no
heart-stopping__a,0,0,0.061850465,0,-0.000997935,heart-stopping,a,NA,NA,Gustatory,yes,no
fictional__a,-0.077090737,-0.006372859,-0.040104332,0,-0.015005477,fictional,a,71,1.851258349,Olfactory,no,no
ragtag__a,0.044571335,0,0.057701114,0,0,ragtag,a,9,0.954242509,Gustatory,yes,no
confidante__n,0,0.013719446,0,0,0,confidante,n,23,1.361727836,Auditory,yes,no
yucky__a,0,0,0.109291768,0,0,yucky,a,22,1.342422681,Gustatory,yes,no
trooper__n,0.006448007,-0.000146152,-0.095812713,0,0.023452403,trooper,n,226,2.354108439,Haptic,yes,no
analyze__v,-0.017490374,0.021269209,-0.032075681,0,-0.021730506,analyze,v,165,2.217483944,Auditory,yes,no
meatpacking__n,0,-0.003927238,0.040054431,0,0.00492972,meatpacking,n,12,1.079181246,Gustatory,yes,no
grassy__a,0.023224004,0,0.021146729,0,-0.013977982,grassy,a,32,1.505149978,Visual,yes,no
embellished__a,0.060321775,0.02168426,0.064478334,0,0,embellished,a,11,1.041392685,Gustatory,yes,no
enter__v,-0.023402091,-0.034421171,0.039186707,-0.054259274,-0.029820592,enter,v,1516,3.180699201,Gustatory,yes,no
clandestine__a,-0.083692179,-0.020311102,-0.07564695,0,0.033264093,clandestine,a,45,1.653212514,Haptic,yes,no
canvas__n,0.039625541,-0.044754328,-0.02843249,0.011847062,0.006659785,canvas,n,216,2.334453751,Visual,yes,no
african__a,0.019096011,-0.017360747,-0.001549185,0,-0.046856247,african,a,345,2.537819095,Visual,yes,no
regulations__n,0.074964391,0,0,0,0,regulations,n,325,2.511883361,Visual,yes,no
